SalePrice,LotShape,FullBath,BedroomAbvGr,Neighborhood,Latitude,Longitude
180000,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
129500,IR1,1,2,CollgCr,41.374540118847364,-93.47524356836776
168500,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
189000,Reg,2,4,CollgCr,41.374540118847364,-93.47524356836776
147000,IR1,2,3,CollgCr,41.374540118847364,-93.47524356836776
165500,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
161000,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
171000,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
178000,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
181000,Reg,2,3,CollgCr,41.374540118847364,-93.47524356836776
85000,IR1,1,2,Veenker,41.950714306409914,-93.56805498135789
162000,Reg,2,3,Veenker,41.950714306409914,-93.56805498135789
155000,Reg,2,3,Veenker,41.950714306409914,-93.56805498135789
150000,Reg,2,3,Veenker,41.950714306409914,-93.56805498135789
157000,Reg,2,3,Veenker,41.950714306409914,-93.56805498135789
160000,Reg,2,3,Veenker,41.950714306409914,-93.56805498135789
118000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
154000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
124000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
118500,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
122000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
129000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
133000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
136000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
139000,Reg,2,3,Crawfor,41.7319939418114,-93.70877085980196
108000,IR1,1,3,NoRidge,41.59865848419704,-93.38814710527762
183000,Reg,2,3,NoRidge,41.59865848419704,-93.38814710527762
187000,Reg,2,3,NoRidge,41.59865848419704,-93.38814710527762
164000,Reg,2,3,NoRidge,41.59865848419704,-93.38814710527762
169000,Reg,2,3,NoRidge,41.59865848419704,-93.38814710527762
173000,Reg,2,3,NoRidge,41.59865848419704,-93.38814710527762
177000,Reg,2,3,NoRidge,41.59865848419704,-93.38814710527762
115000,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
105000,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
114000,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
117000,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
120000,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
123000,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
126500,Reg,1,3,Mitchel,41.15601864044244,-93.86050613934796
165000,Reg,2,3,Somerst,41.1559945203362,-93.70785535146479
175000,Reg,2,4,Somerst,41.1559945203362,-93.70785535146479
195000,Reg,3,4,Somerst,41.1559945203362,-93.70785535146479
158000,IR1,2,3,Somerst,41.1559945203362,-93.70785535146479
152000,Reg,2,3,Somerst,41.1559945203362,-93.70785535146479
192000,Reg,2,4,Somerst,41.1559945203362,-93.70785535146479
159000,Reg,2,3,Somerst,41.1559945203362,-93.70785535146479
142000,IR1,2,3,Somerst,41.1559945203362,-93.70785535146479
185000,Reg,2,4,Somerst,41.1559945203362,-93.70785535146479
190000,Reg,2,4,Somerst,41.1559945203362,-93.70785535146479
195500,Reg,2,4,Somerst,41.1559945203362,-93.70785535146479
177500,Reg,2,4,NWAmes,41.0580836121682,-93.63363815670631
149900,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
143000,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
134000,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
174000,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
156000,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
163000,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
167000,Reg,2,3,NWAmes,41.0580836121682,-93.63363815670631
